Genome project,Gene stable ID,Transcript stable ID,Gene name,Gene description
brugia_malayi_prjna10729,WBGene00220321,Bm60b.1,Bm60,
brugia_malayi_prjna10729,WBGene00220328,Bm67a.1,Bm67,
brugia_malayi_prjna10729,WBGene00220328,Bm67b.1,Bm67,
brugia_malayi_prjna10729,WBGene00220328,Bm67c.1,Bm67,
brugia_malayi_prjna10729,WBGene00220328,Bm67d.1,Bm67,
brugia_malayi_prjna10729,WBGene00220335,Bm74.1,Bm74,ETS domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9EQC5]
brugia_malayi_prjna10729,WBGene00220337,Bm76.1,Bm76,
brugia_malayi_prjna10729,WBGene00220341,Bm80a.1,Bm80,"Bm80, isoform a  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XLM6]"
brugia_malayi_prjna10729,WBGene00220341,Bm80b.1,Bm80,"Bm80, isoform a  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XLM6]"
brugia_malayi_prjna10729,WBGene00220346,Bm85a.1,Bm85,"Bm85, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMH3]"
brugia_malayi_prjna10729,WBGene00220346,Bm85b.1,Bm85,"Bm85, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMH3]"
brugia_malayi_prjna10729,WBGene00220348,Bm87.1,Bm87,Bm87  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMI5]
brugia_malayi_prjna10729,WBGene00220352,Bm91a.1,Bm91,Bm91  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PX70]
brugia_malayi_prjna10729,WBGene00220352,Bm91b.1,Bm91,Bm91  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PX70]
brugia_malayi_prjna10729,WBGene00220355,Bm94.1,Bm94,Bm94  [Source:UniProtKB/TrEMBL;Acc:A0A0K0JZ59]
brugia_malayi_prjna10729,WBGene00220356,Bm95.1,Bm95,Bm95  [Source:UniProtKB/TrEMBL;Acc:A0A0K0JZI0]
brugia_malayi_prjna10729,WBGene00220358,Bm97a.1,Bm97,"Larval allergen, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FJM8]"
brugia_malayi_prjna10729,WBGene00220358,Bm97b.1,Bm97,"Larval allergen, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FJM8]"
brugia_malayi_prjna10729,WBGene00220359,Bm98.1,Bm98,Bm98  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XLK8]
brugia_malayi_prjna10729,WBGene00220360,Bm99.1,Bm99,
brugia_malayi_prjna10729,WBGene00220380,Bm119.1,Bm119,Bm119  [Source:UniProtKB/TrEMBL;Acc:A0A0K0ISY9]
brugia_malayi_prjna10729,WBGene00220387,Bm126.1,Bm126,Cytochrome c oxidase subunit 1  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FTT5]
brugia_malayi_prjna10729,WBGene00220389,Bm128a.1,Bm128,
brugia_malayi_prjna10729,WBGene00220389,Bm128b.1,Bm128,
brugia_malayi_prjna10729,WBGene00220389,Bm128c.1,Bm128,
brugia_malayi_prjna10729,WBGene00220389,Bm128d.1,Bm128,
brugia_malayi_prjna10729,WBGene00220389,Bm128e.1,Bm128,
brugia_malayi_prjna10729,WBGene00220390,Bm129a.1,Bm129,Bm4463  [Source:UniProtKB/TrEMBL;Acc:A0A5S6P9P4]
brugia_malayi_prjna10729,WBGene00220390,Bm129b.1,Bm129,Bm4463  [Source:UniProtKB/TrEMBL;Acc:A0A5S6P9P4]
brugia_malayi_prjna10729,WBGene00220391,Bm130.1,Bm130,
brugia_malayi_prjna10729,WBGene00220396,Bm135.1,Bma-lron-11.2,Bm135  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S1Y4]
brugia_malayi_prjna10729,WBGene00220398,Bm137.1,Bm137,
brugia_malayi_prjna10729,WBGene00220406,Bm145a.1,Bm145,Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PBI3]
brugia_malayi_prjna10729,WBGene00220406,Bm145b.1,Bm145,Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PBI3]
brugia_malayi_prjna10729,WBGene00220407,Bm146.1,Bm146,
brugia_malayi_prjna10729,WBGene00220409,Bm148.1,Bm148,
brugia_malayi_prjna10729,WBGene00220411,Bm150.1,Bm150,Bm150  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J1W9]
brugia_malayi_prjna10729,WBGene00220416,Bm155a.1,Bm155,Bm155  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S1H3]
brugia_malayi_prjna10729,WBGene00220416,Bm155b.1,Bm155,Bm155  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S1H3]
brugia_malayi_prjna10729,WBGene00220422,Bm161.1,Bm161,Bm161  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BP19]
brugia_malayi_prjna10729,WBGene00220424,Bm163.1,Bm163,Bm163  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S1K1]
brugia_malayi_prjna10729,WBGene00220425,Bm164.1,Bm164,Bm164  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BP47]
brugia_malayi_prjna10729,WBGene00220433,Bm172a.1,Bm172,Bm172  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PD53]
brugia_malayi_prjna10729,WBGene00220433,Bm172b.1,Bm172,Bm172  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PD53]
brugia_malayi_prjna10729,WBGene00220433,Bm172c.1,Bm172,Bm172  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PD53]
brugia_malayi_prjna10729,WBGene00220434,Bm173.1,Bm173,Bm173  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J2T6]
brugia_malayi_prjna10729,WBGene00220438,Bm177.1,Bm177,Bm177  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J302]
brugia_malayi_prjna10729,WBGene00220439,Bm178.1,Bm178,Bm178  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J333]
brugia_malayi_prjna10729,WBGene00220441,Bm180.1,Bm180,
brugia_malayi_prjna10729,WBGene00220443,Bm182a.1,Bm182,"Bm182, isoform b; Bm182, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMM7]"
brugia_malayi_prjna10729,WBGene00220443,Bm182b.1,Bm182,"Bm182, isoform b; Bm182, isoform c  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMM7]"
brugia_malayi_prjna10729,WBGene00220444,Bm183.1,Bm183,Bm183  [Source:UniProtKB/TrEMBL;Acc:A0A0H5SET5]
brugia_malayi_prjna10729,WBGene00220450,Bm189.1,Bm189,Bm189  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J3I9]
brugia_malayi_prjna10729,WBGene00220454,Bm193.1,Bm193,Bm193  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XMV6]
brugia_malayi_prjna10729,WBGene00220456,Bm195.1,Bm195,
brugia_malayi_prjna10729,WBGene00220457,Bm196.1,Bm196,
brugia_malayi_prjna10729,WBGene00220458,Bm197.1,Bm197,
brugia_malayi_prjna10729,WBGene00220460,Bm199a.1,Bm199,Receptor expression-enhancing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9F7D5]
brugia_malayi_prjna10729,WBGene00220460,Bm199b.1,Bm199,Receptor expression-enhancing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9F7D5]
brugia_malayi_prjna10729,WBGene00220460,Bm199c.1,Bm199,Receptor expression-enhancing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9F7D5]
brugia_malayi_prjna10729,WBGene00220465,Bm204.1,Bm204,
brugia_malayi_prjna10729,WBGene00220466,Bm205.1,Bm205,Bm205  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNL5]
brugia_malayi_prjna10729,WBGene00220469,Bm208a.1,Bm208,Bm208  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGD8]
brugia_malayi_prjna10729,WBGene00220469,Bm208b.1,Bm208,Bm208  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGD8]
brugia_malayi_prjna10729,WBGene00220477,Bm216.1,Bm216,
brugia_malayi_prjna10729,WBGene00220480,Bm219.1,Bm219,Bm219  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNR5]
brugia_malayi_prjna10729,WBGene00220481,Bm220.1,Bm220,Bm220  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J4W9]
brugia_malayi_prjna10729,WBGene00220483,Bm222a.1,Bm222,"Bm222, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGU9]"
brugia_malayi_prjna10729,WBGene00220483,Bm222b.1,Bm222,"Bm222, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGU9]"
brugia_malayi_prjna10729,WBGene00220483,Bm222c.1,Bm222,"Bm222, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGU9]"
brugia_malayi_prjna10729,WBGene00220483,Bm222d.1,Bm222,"Bm222, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PGU9]"
brugia_malayi_prjna10729,WBGene00220487,Bm226.1,Bm226,Bm226  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNY2]
brugia_malayi_prjna10729,WBGene00220489,Bm228.1,Bm228,Bm228  [Source:UniProtKB/TrEMBL;Acc:A8PI36]
brugia_malayi_prjna10729,WBGene00220489,Bm228.2,Bm228,Bm228  [Source:UniProtKB/TrEMBL;Acc:A8PI36]
brugia_malayi_prjna10729,WBGene00220491,Bm230.1,Bm230,
brugia_malayi_prjna10729,WBGene00220492,Bm231a.1,Bm231,Bm231  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PH18]
brugia_malayi_prjna10729,WBGene00220492,Bm231b.1,Bm231,Bm231  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PH18]
brugia_malayi_prjna10729,WBGene00220492,Bm231c.1,Bm231,Bm231  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PH18]
brugia_malayi_prjna10729,WBGene00220494,Bm233a.1,Bm233,Bm233  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5G6]
brugia_malayi_prjna10729,WBGene00220494,Bm233b.1,Bm233,Bm233  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5G6]
brugia_malayi_prjna10729,WBGene00220494,Bm233c.1,Bm233,Bm233  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5G6]
brugia_malayi_prjna10729,WBGene00220494,Bm233d.1,Bm233,Bm233  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5G6]
brugia_malayi_prjna10729,WBGene00220495,Bm234.1,Bm234,Bm234  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S254]
brugia_malayi_prjna10729,WBGene00220496,Bm235a.1,Bm235,Bm235  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5J7]
brugia_malayi_prjna10729,WBGene00220496,Bm235b.1,Bm235,Bm235  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5J7]
brugia_malayi_prjna10729,WBGene00220498,Bm237a.1,Bm237,"Bm237, isoform a; Bm237, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PHA2]"
brugia_malayi_prjna10729,WBGene00220498,Bm237b.1,Bm237,"Bm237, isoform a; Bm237, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PHA2]"
brugia_malayi_prjna10729,WBGene00220498,Bm237c.1,Bm237,"Bm237, isoform a; Bm237, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PHA2]"
brugia_malayi_prjna10729,WBGene00220499,Bm238.1,Bm238,
brugia_malayi_prjna10729,WBGene00220500,Bm239.1,Bm239,Bm239  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XP30]
brugia_malayi_prjna10729,WBGene00220502,Bm241a.1,Bm241,Bm241  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PHM0]
brugia_malayi_prjna10729,WBGene00220502,Bm241b.1,Bm241,Bm241  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PHM0]
brugia_malayi_prjna10729,WBGene00220503,Bm242a.1,Bm242,Bm242  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5X1]
brugia_malayi_prjna10729,WBGene00220503,Bm242b.1,Bm242,Bm242  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J5X1]
brugia_malayi_prjna10729,WBGene00220504,Bm243.1,Bma-twk-18,
brugia_malayi_prjna10729,WBGene00220507,Bm246.1,Bm246,"B52-prov protein, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FIW2]"
brugia_malayi_prjna10729,WBGene00220510,Bm249.1,Bm249,
brugia_malayi_prjna10729,WBGene00220511,Bm250.1,Bm250,Bm250  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J693]
brugia_malayi_prjna10729,WBGene00220514,Bm253.1,Bm253,Bm253  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J6E0]
brugia_malayi_prjna10729,WBGene00220515,Bm254.1,Bm254,DUF4773 domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FSW1]
brugia_malayi_prjna10729,WBGene00220516,Bm255.1,Bm255,Bm255  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNT1]
brugia_malayi_prjna10729,WBGene00220519,Bm258a.1,Bm258,
brugia_malayi_prjna10729,WBGene00220519,Bm258b.1,Bm258,
brugia_malayi_prjna10729,WBGene00220522,Bm261.1,Bm261,"Zinc finger, C2H2 type family protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9FHW7]"
brugia_malayi_prjna10729,WBGene00220524,Bm263.1,Bm263,Bm263  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNM1]
brugia_malayi_prjna10729,WBGene00220525,Bm264.1,Bm264,Bm264  [Source:UniProtKB/TrEMBL;Acc:A0A0H5S2U9]
brugia_malayi_prjna10729,WBGene00220526,Bm265.1,Bm265,
brugia_malayi_prjna10729,WBGene00220527,Bm266.1,Bm266,Bm266  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XP28]
brugia_malayi_prjna10729,WBGene00220528,Bm267a.1,Bm267,
brugia_malayi_prjna10729,WBGene00220528,Bm267b.1,Bm267,
brugia_malayi_prjna10729,WBGene00220529,Bm268.1,Bm268,"Histone B4, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9G101]"
brugia_malayi_prjna10729,WBGene00220530,Bm269a.1,Bm269,Bm269  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J715]
brugia_malayi_prjna10729,WBGene00220530,Bm269b.1,Bm269,Bm269  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J715]
brugia_malayi_prjna10729,WBGene00220530,Bm269c.1,Bm269,Bm269  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J715]
brugia_malayi_prjna10729,WBGene00220531,Bm270.1,Bma-syf-2.1,Pre-mRNA-splicing factor SYF2  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J730]
brugia_malayi_prjna10729,WBGene00220532,Bm271.1,Bm271,Bm271  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNH6]
brugia_malayi_prjna10729,WBGene00220533,Bm272.1,Bm272,
brugia_malayi_prjna10729,WBGene00220536,Bm275.1,Bm275,Bm275  [Source:UniProtKB/TrEMBL;Acc:A0A0H5SGT3]
brugia_malayi_prjna10729,WBGene00220537,Bm276.1,Bm276,Bm276  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNU8]
brugia_malayi_prjna10729,WBGene00220537,Bm276.2,Bm276,Bm276  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNU8]
brugia_malayi_prjna10729,WBGene00220538,Bm277.1,Bm277,Bm277  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNI6]
brugia_malayi_prjna10729,WBGene00220539,Bm278.1,Bm278,
brugia_malayi_prjna10729,WBGene00220541,Bm280.1,Bm280,Bm280  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J7H9]
brugia_malayi_prjna10729,WBGene00220542,Bm281.1,Bm281,Bm281  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XNV9]
brugia_malayi_prjna10729,WBGene00220543,Bm282.1,Bm282,
brugia_malayi_prjna10729,WBGene00220544,Bm283a.1,Bm283,RING-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PIT8]
brugia_malayi_prjna10729,WBGene00220544,Bm283b.1,Bm283,RING-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PIT8]
brugia_malayi_prjna10729,WBGene00220549,Bm288a.1,Bm288,Bm288  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPP4]
brugia_malayi_prjna10729,WBGene00220549,Bm288b.1,Bm288,Bm288  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPP4]
brugia_malayi_prjna10729,WBGene00220552,Bm291.1,Bma-hus-1,BMA-HUS-1; Checkpoint protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J803]
brugia_malayi_prjna10729,WBGene00220554,Bm293.1,Bm293,Bm293  [Source:UniProtKB/TrEMBL;Acc:A8P6V0]
brugia_malayi_prjna10729,WBGene00220555,Bm294a.1,Bm294,Bm294  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW6]
brugia_malayi_prjna10729,WBGene00220555,Bm294a.2,Bm294,Bm294  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW6]
brugia_malayi_prjna10729,WBGene00220555,Bm294a.3,Bm294,Bm294  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW6]
brugia_malayi_prjna10729,WBGene00220555,Bm294a.4,Bm294,Bm294  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW6]
brugia_malayi_prjna10729,WBGene00220555,Bm294b.1,Bm294,Bm294  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW6]
brugia_malayi_prjna10729,WBGene00220556,Bm295a.1,Bm295,Bm295  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PJ02]
brugia_malayi_prjna10729,WBGene00220556,Bm295b.1,Bm295,Bm295  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PJ02]
brugia_malayi_prjna10729,WBGene00220557,Bm296.1,Bma-popl-5,Ribonuclease P/MRP protein subunit POP5  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPW3]
brugia_malayi_prjna10729,WBGene00220561,Bm300.1,Bm300,
brugia_malayi_prjna10729,WBGene00220563,Bm302.1,Bm302,"Bm302; Conserved oligomeric Golgi complex component 4, putative  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J8G1]"
brugia_malayi_prjna10729,WBGene00220566,Bm305a.1,Bm305,"Diacylglycerol kinase, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9F063]"
brugia_malayi_prjna10729,WBGene00220566,Bm305b.1,Bm305,"Diacylglycerol kinase, putative  [Source:UniProtKB/TrEMBL;Acc:A0A4E9F063]"
brugia_malayi_prjna10729,WBGene00220568,Bm307a.1,Bm307,PINc domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9ETQ8]
brugia_malayi_prjna10729,WBGene00220568,Bm307b.1,Bm307,PINc domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A4E9ETQ8]
brugia_malayi_prjna10729,WBGene00220573,Bm312a.1,Bm312,
brugia_malayi_prjna10729,WBGene00220573,Bm312b.1,Bm312,
brugia_malayi_prjna10729,WBGene00220576,Bm315.1,Bma-txt-19,Bm315  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XQH4]
brugia_malayi_prjna10729,WBGene00220579,Bm318.1,Bm318,"Bm318, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A1P6BWV4]"
brugia_malayi_prjna10729,WBGene00220580,Bm319.1,Bm319,Bm319  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XQN4]
brugia_malayi_prjna10729,WBGene00220582,Bm321a.1,Bm321,"Bm321, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J9C4]"
brugia_malayi_prjna10729,WBGene00220582,Bm321b.1,Bm321,"Bm321, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J9C4]"
brugia_malayi_prjna10729,WBGene00220582,Bm321c.1,Bm321,"Bm321, isoform b  [Source:UniProtKB/TrEMBL;Acc:A0A0K0J9C4]"
brugia_malayi_prjna10729,WBGene00220584,Bm323a.1,Bm323,Bm323  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PJZ1]
brugia_malayi_prjna10729,WBGene00220584,Bm323b.1,Bm323,Bm323  [Source:UniProtKB/TrEMBL;Acc:A0A5S6PJZ1]
brugia_malayi_prjna10729,WBGene00220585,Bm324a.1,Bm324,Bm324  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPL4]
brugia_malayi_prjna10729,WBGene00220585,Bm324b.1,Bm324,Bm324  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XPL4]
brugia_malayi_prjna10729,WBGene00220588,Bm327a.1,Bm327,Bm327  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XQP4]
brugia_malayi_prjna10729,WBGene00220588,Bm327b.1,Bm327,Bm327  [Source:UniProtKB/TrEMBL;Acc:A0A0J9XQP4]
