bma_genome_project,bma_gene_ID,cel_gene_ID,cel_gene_name
brugia_malayi_prjna10729,WBGene00220424,,
brugia_malayi_prjna10729,WBGene00220425,,
brugia_malayi_prjna10729,WBGene00220433,,
brugia_malayi_prjna10729,WBGene00220434,,
brugia_malayi_prjna10729,WBGene00220438,,
brugia_malayi_prjna10729,WBGene00220439,,
brugia_malayi_prjna10729,WBGene00220441,,
brugia_malayi_prjna10729,WBGene00220443,,
brugia_malayi_prjna10729,WBGene00220444,,
brugia_malayi_prjna10729,WBGene00220450,,
brugia_malayi_prjna10729,WBGene00220454,,
brugia_malayi_prjna10729,WBGene00220456,,
brugia_malayi_prjna10729,WBGene00220457,,
brugia_malayi_prjna10729,WBGene00220458,,
brugia_malayi_prjna10729,WBGene00220460,,
brugia_malayi_prjna10729,WBGene00220465,,
brugia_malayi_prjna10729,WBGene00220466,,
brugia_malayi_prjna10729,WBGene00220469,,
brugia_malayi_prjna10729,WBGene00220477,,
brugia_malayi_prjna10729,WBGene00220480,,
brugia_malayi_prjna10729,WBGene00220481,,
brugia_malayi_prjna10729,WBGene00220483,,
brugia_malayi_prjna10729,WBGene00220487,,
brugia_malayi_prjna10729,WBGene00220489,,
brugia_malayi_prjna10729,WBGene00220491,,
brugia_malayi_prjna10729,WBGene00220492,,
brugia_malayi_prjna10729,WBGene00220494,,
brugia_malayi_prjna10729,WBGene00220495,,
brugia_malayi_prjna10729,WBGene00220496,,
brugia_malayi_prjna10729,WBGene00220498,,
brugia_malayi_prjna10729,WBGene00220499,,
brugia_malayi_prjna10729,WBGene00220500,,
brugia_malayi_prjna10729,WBGene00220502,,
brugia_malayi_prjna10729,WBGene00220503,,
brugia_malayi_prjna10729,WBGene00220504,WBGene00006672,twk-18
brugia_malayi_prjna10729,WBGene00220507,,
brugia_malayi_prjna10729,WBGene00220510,,
brugia_malayi_prjna10729,WBGene00220511,,
brugia_malayi_prjna10729,WBGene00220514,,
brugia_malayi_prjna10729,WBGene00220515,WBGene00015633,C09D4.2
brugia_malayi_prjna10729,WBGene00220516,,
brugia_malayi_prjna10729,WBGene00220519,,
brugia_malayi_prjna10729,WBGene00220522,,
brugia_malayi_prjna10729,WBGene00220524,,
brugia_malayi_prjna10729,WBGene00220525,WBGene00013734,Y111B2A.10
brugia_malayi_prjna10729,WBGene00220526,,
brugia_malayi_prjna10729,WBGene00220527,,
brugia_malayi_prjna10729,WBGene00220528,,
brugia_malayi_prjna10729,WBGene00220529,,
brugia_malayi_prjna10729,WBGene00220530,,
brugia_malayi_prjna10729,WBGene00220531,WBGene00019402,syf-2
brugia_malayi_prjna10729,WBGene00220532,,
brugia_malayi_prjna10729,WBGene00220533,,
brugia_malayi_prjna10729,WBGene00220536,,
brugia_malayi_prjna10729,WBGene00220537,,
brugia_malayi_prjna10729,WBGene00220538,,
brugia_malayi_prjna10729,WBGene00220539,,
brugia_malayi_prjna10729,WBGene00220541,,
brugia_malayi_prjna10729,WBGene00220542,,
brugia_malayi_prjna10729,WBGene00220543,,
brugia_malayi_prjna10729,WBGene00220544,,
brugia_malayi_prjna10729,WBGene00220549,,
brugia_malayi_prjna10729,WBGene00220552,WBGene00002042,hus-1
brugia_malayi_prjna10729,WBGene00220554,,
brugia_malayi_prjna10729,WBGene00220555,,
brugia_malayi_prjna10729,WBGene00220556,,
brugia_malayi_prjna10729,WBGene00220557,WBGene00013422,popl-5
brugia_malayi_prjna10729,WBGene00220561,,
brugia_malayi_prjna10729,WBGene00220563,WBGene00302984,Y51H7C.41
brugia_malayi_prjna10729,WBGene00220566,,
brugia_malayi_prjna10729,WBGene00220568,,
brugia_malayi_prjna10729,WBGene00220573,,
brugia_malayi_prjna10729,WBGene00220576,WBGene00010827,txt-19
brugia_malayi_prjna10729,WBGene00220579,,
brugia_malayi_prjna10729,WBGene00220580,,
brugia_malayi_prjna10729,WBGene00220582,,
brugia_malayi_prjna10729,WBGene00220584,,
brugia_malayi_prjna10729,WBGene00220585,,
brugia_malayi_prjna10729,WBGene00220588,,
brugia_malayi_prjna10729,WBGene00220589,,
brugia_malayi_prjna10729,WBGene00220590,,
brugia_malayi_prjna10729,WBGene00220594,,
brugia_malayi_prjna10729,WBGene00220596,,
brugia_malayi_prjna10729,WBGene00220598,,
brugia_malayi_prjna10729,WBGene00220601,,
brugia_malayi_prjna10729,WBGene00220602,,
brugia_malayi_prjna10729,WBGene00220608,WBGene00001338,ears-2
brugia_malayi_prjna10729,WBGene00220609,WBGene00015807,C16A3.2
brugia_malayi_prjna10729,WBGene00220610,,
brugia_malayi_prjna10729,WBGene00220615,WBGene00013373,popl-7
brugia_malayi_prjna10729,WBGene00220617,,
brugia_malayi_prjna10729,WBGene00220618,,
brugia_malayi_prjna10729,WBGene00220619,,
brugia_malayi_prjna10729,WBGene00220620,,
brugia_malayi_prjna10729,WBGene00220621,,
brugia_malayi_prjna10729,WBGene00220624,WBGene00011508,T05H10.3
brugia_malayi_prjna10729,WBGene00220625,,
brugia_malayi_prjna10729,WBGene00220626,,
brugia_malayi_prjna10729,WBGene00220627,,
brugia_malayi_prjna10729,WBGene00220628,,
brugia_malayi_prjna10729,WBGene00220632,,
brugia_malayi_prjna10729,WBGene00220633,,
brugia_malayi_prjna10729,WBGene00220634,,
brugia_malayi_prjna10729,WBGene00220635,,
brugia_malayi_prjna10729,WBGene00220636,,
brugia_malayi_prjna10729,WBGene00220637,,
brugia_malayi_prjna10729,WBGene00220638,,
brugia_malayi_prjna10729,WBGene00220641,,
brugia_malayi_prjna10729,WBGene00220643,,
brugia_malayi_prjna10729,WBGene00220645,,
brugia_malayi_prjna10729,WBGene00220646,,
brugia_malayi_prjna10729,WBGene00220649,,
brugia_malayi_prjna10729,WBGene00220652,,
brugia_malayi_prjna10729,WBGene00220654,,
brugia_malayi_prjna10729,WBGene00220655,,
brugia_malayi_prjna10729,WBGene00220658,,
brugia_malayi_prjna10729,WBGene00220659,WBGene00001087,dpy-28
brugia_malayi_prjna10729,WBGene00220660,,
brugia_malayi_prjna10729,WBGene00220661,,
brugia_malayi_prjna10729,WBGene00220664,,
brugia_malayi_prjna10729,WBGene00220665,,
brugia_malayi_prjna10729,WBGene00220666,WBGene00003797,npp-11
brugia_malayi_prjna10729,WBGene00220668,,
brugia_malayi_prjna10729,WBGene00220669,WBGene00004447,rpl-33
brugia_malayi_prjna10729,WBGene00220673,,
brugia_malayi_prjna10729,WBGene00220675,,
brugia_malayi_prjna10729,WBGene00220676,,
brugia_malayi_prjna10729,WBGene00220678,,
brugia_malayi_prjna10729,WBGene00220679,WBGene00004800,sir-2.1
brugia_malayi_prjna10729,WBGene00220681,,
brugia_malayi_prjna10729,WBGene00220682,,
brugia_malayi_prjna10729,WBGene00220683,,
brugia_malayi_prjna10729,WBGene00220685,,
brugia_malayi_prjna10729,WBGene00220688,,
brugia_malayi_prjna10729,WBGene00220694,,
brugia_malayi_prjna10729,WBGene00220695,,
brugia_malayi_prjna10729,WBGene00220696,,
brugia_malayi_prjna10729,WBGene00220698,,
brugia_malayi_prjna10729,WBGene00220704,,
brugia_malayi_prjna10729,WBGene00220706,,
brugia_malayi_prjna10729,WBGene00220707,,
brugia_malayi_prjna10729,WBGene00220711,,
brugia_malayi_prjna10729,WBGene00220712,,
brugia_malayi_prjna10729,WBGene00220713,,
brugia_malayi_prjna10729,WBGene00220714,,
brugia_malayi_prjna10729,WBGene00220716,,
brugia_malayi_prjna10729,WBGene00220718,,
brugia_malayi_prjna10729,WBGene00220719,,
brugia_malayi_prjna10729,WBGene00220720,,
brugia_malayi_prjna10729,WBGene00220721,,
brugia_malayi_prjna10729,WBGene00220722,,
brugia_malayi_prjna10729,WBGene00220735,,
brugia_malayi_prjna10729,WBGene00220736,,
brugia_malayi_prjna10729,WBGene00220737,,
brugia_malayi_prjna10729,WBGene00220738,,
brugia_malayi_prjna10729,WBGene00220740,,
brugia_malayi_prjna10729,WBGene00220742,,
brugia_malayi_prjna10729,WBGene00220743,,
brugia_malayi_prjna10729,WBGene00220744,,
brugia_malayi_prjna10729,WBGene00220745,,
brugia_malayi_prjna10729,WBGene00220746,,
brugia_malayi_prjna10729,WBGene00220748,,
brugia_malayi_prjna10729,WBGene00220749,WBGene00019712,rmh-1
brugia_malayi_prjna10729,WBGene00220750,WBGene00010947,M176.11
brugia_malayi_prjna10729,WBGene00220751,,
brugia_malayi_prjna10729,WBGene00220752,,
brugia_malayi_prjna10729,WBGene00220753,,
brugia_malayi_prjna10729,WBGene00220756,,
brugia_malayi_prjna10729,WBGene00220757,WBGene00020181,T02H6.11
brugia_malayi_prjna10729,WBGene00220759,,
brugia_malayi_prjna10729,WBGene00220761,,
brugia_malayi_prjna10729,WBGene00220762,,
brugia_malayi_prjna10729,WBGene00220763,,
brugia_malayi_prjna10729,WBGene00220767,,
brugia_malayi_prjna10729,WBGene00220768,,
brugia_malayi_prjna10729,WBGene00220770,,
brugia_malayi_prjna10729,WBGene00220775,,
brugia_malayi_prjna10729,WBGene00220777,,
brugia_malayi_prjna10729,WBGene00220783,WBGene00006775,unc-39
brugia_malayi_prjna10729,WBGene00220787,,
brugia_malayi_prjna10729,WBGene00220791,,
brugia_malayi_prjna10729,WBGene00220794,,
brugia_malayi_prjna10729,WBGene00220798,,
brugia_malayi_prjna10729,WBGene00220799,,
brugia_malayi_prjna10729,WBGene00220801,,
brugia_malayi_prjna10729,WBGene00220802,,
brugia_malayi_prjna10729,WBGene00220805,,
brugia_malayi_prjna10729,WBGene00220806,,
brugia_malayi_prjna10729,WBGene00220807,,
brugia_malayi_prjna10729,WBGene00220808,,
brugia_malayi_prjna10729,WBGene00220809,,
brugia_malayi_prjna10729,WBGene00220812,WBGene00012049,T26E4.7
brugia_malayi_prjna10729,WBGene00220812,WBGene00022843,ZK1055.2
brugia_malayi_prjna10729,WBGene00220812,WBGene00009616,F41D3.11
brugia_malayi_prjna10729,WBGene00220812,WBGene00008292,C54C8.4
brugia_malayi_prjna10729,WBGene00220812,WBGene00019449,K06H6.1
brugia_malayi_prjna10729,WBGene00220812,WBGene00019373,K04A8.1
brugia_malayi_prjna10729,WBGene00220812,WBGene00018505,F46F5.14
brugia_malayi_prjna10729,WBGene00220812,WBGene00017977,F32B5.3
brugia_malayi_prjna10729,WBGene00220812,WBGene00015720,C13A2.3
brugia_malayi_prjna10729,WBGene00220812,WBGene00015724,C13A2.7
brugia_malayi_prjna10729,WBGene00220812,WBGene00022845,ZK1055.4
brugia_malayi_prjna10729,WBGene00220812,WBGene00012346,W08G11.1
brugia_malayi_prjna10729,WBGene00220812,WBGene00010163,F56H6.2
brugia_malayi_prjna10729,WBGene00220812,WBGene00009332,F32D8.8
brugia_malayi_prjna10729,WBGene00220817,WBGene00022296,xpc-1
brugia_malayi_prjna10729,WBGene00220819,,
brugia_malayi_prjna10729,WBGene00220820,,
brugia_malayi_prjna10729,WBGene00220825,,
brugia_malayi_prjna10729,WBGene00220828,,
brugia_malayi_prjna10729,WBGene00220829,,
brugia_malayi_prjna10729,WBGene00220831,,
brugia_malayi_prjna10729,WBGene00220834,,
brugia_malayi_prjna10729,WBGene00220835,,
brugia_malayi_prjna10729,WBGene00220836,,
brugia_malayi_prjna10729,WBGene00220839,,
brugia_malayi_prjna10729,WBGene00220840,,
brugia_malayi_prjna10729,WBGene00220844,,
brugia_malayi_prjna10729,WBGene00220845,,
brugia_malayi_prjna10729,WBGene00220846,,
brugia_malayi_prjna10729,WBGene00220849,,
brugia_malayi_prjna10729,WBGene00220851,,
brugia_malayi_prjna10729,WBGene00220853,,
brugia_malayi_prjna10729,WBGene00220854,,
brugia_malayi_prjna10729,WBGene00220855,,
brugia_malayi_prjna10729,WBGene00220860,WBGene00007203,best-1
brugia_malayi_prjna10729,WBGene00220860,WBGene00007204,best-2
brugia_malayi_prjna10729,WBGene00220862,,
brugia_malayi_prjna10729,WBGene00220865,,
brugia_malayi_prjna10729,WBGene00220866,,
brugia_malayi_prjna10729,WBGene00220870,,
brugia_malayi_prjna10729,WBGene00220873,,
brugia_malayi_prjna10729,WBGene00220875,,
brugia_malayi_prjna10729,WBGene00220877,,
brugia_malayi_prjna10729,WBGene00220878,,
brugia_malayi_prjna10729,WBGene00220879,,
brugia_malayi_prjna10729,WBGene00220880,,
brugia_malayi_prjna10729,WBGene00220881,,
brugia_malayi_prjna10729,WBGene00220882,,
brugia_malayi_prjna10729,WBGene00220885,,
brugia_malayi_prjna10729,WBGene00220886,,
brugia_malayi_prjna10729,WBGene00220887,,
brugia_malayi_prjna10729,WBGene00220889,,
brugia_malayi_prjna10729,WBGene00220890,,
brugia_malayi_prjna10729,WBGene00220891,WBGene00015278,C01B10.3
brugia_malayi_prjna10729,WBGene00220893,,
brugia_malayi_prjna10729,WBGene00220896,,
brugia_malayi_prjna10729,WBGene00220897,,
brugia_malayi_prjna10729,WBGene00220898,WBGene00016990,vps-37
brugia_malayi_prjna10729,WBGene00220909,,
brugia_malayi_prjna10729,WBGene00220914,,
brugia_malayi_prjna10729,WBGene00220915,,
brugia_malayi_prjna10729,WBGene00220920,,
brugia_malayi_prjna10729,WBGene00220921,,
brugia_malayi_prjna10729,WBGene00220925,,
brugia_malayi_prjna10729,WBGene00220928,,
brugia_malayi_prjna10729,WBGene00220929,,
brugia_malayi_prjna10729,WBGene00220935,,
brugia_malayi_prjna10729,WBGene00220936,,
brugia_malayi_prjna10729,WBGene00220939,,
brugia_malayi_prjna10729,WBGene00220943,,
brugia_malayi_prjna10729,WBGene00220944,,
brugia_malayi_prjna10729,WBGene00220949,,
brugia_malayi_prjna10729,WBGene00220954,,
brugia_malayi_prjna10729,WBGene00220955,,
brugia_malayi_prjna10729,WBGene00220956,,
brugia_malayi_prjna10729,WBGene00220960,WBGene00003008,lin-22
brugia_malayi_prjna10729,WBGene00220961,,
brugia_malayi_prjna10729,WBGene00220970,,
brugia_malayi_prjna10729,WBGene00220975,,
brugia_malayi_prjna10729,WBGene00220980,,
brugia_malayi_prjna10729,WBGene00220981,WBGene00002206,kin-24
brugia_malayi_prjna10729,WBGene00220982,WBGene00001442,fkh-10
brugia_malayi_prjna10729,WBGene00220985,WBGene00006946,prx-10
brugia_malayi_prjna10729,WBGene00220986,,
brugia_malayi_prjna10729,WBGene00220989,,
brugia_malayi_prjna10729,WBGene00220990,,
brugia_malayi_prjna10729,WBGene00220992,,
brugia_malayi_prjna10729,WBGene00220996,WBGene00012019,dkf-2
brugia_malayi_prjna10729,WBGene00221002,WBGene00011928,cutl-12
brugia_malayi_prjna10729,WBGene00221009,,
brugia_malayi_prjna10729,WBGene00221010,WBGene00003815,nars-1
brugia_malayi_prjna10729,WBGene00221016,WBGene00013680,rpom-1
brugia_malayi_prjna10729,WBGene00221019,WBGene00000483,che-1
brugia_malayi_prjna10729,WBGene00221054,,
brugia_malayi_prjna10729,WBGene00221056,,
brugia_malayi_prjna10729,WBGene00221057,,
brugia_malayi_prjna10729,WBGene00221059,,
brugia_malayi_prjna10729,WBGene00221073,,
brugia_malayi_prjna10729,WBGene00221076,,
brugia_malayi_prjna10729,WBGene00221077,,
brugia_malayi_prjna10729,WBGene00221078,,
brugia_malayi_prjna10729,WBGene00221079,,
brugia_malayi_prjna10729,WBGene00221080,,
brugia_malayi_prjna10729,WBGene00221083,,
brugia_malayi_prjna10729,WBGene00221085,,
brugia_malayi_prjna10729,WBGene00221086,,
brugia_malayi_prjna10729,WBGene00221089,WBGene00002176,jip-1
brugia_malayi_prjna10729,WBGene00221090,WBGene00012383,ttr-17
brugia_malayi_prjna10729,WBGene00221093,,
brugia_malayi_prjna10729,WBGene00221094,,
brugia_malayi_prjna10729,WBGene00221095,WBGene00020117,R155.3
brugia_malayi_prjna10729,WBGene00221097,,
brugia_malayi_prjna10729,WBGene00221102,,
brugia_malayi_prjna10729,WBGene00221112,,
brugia_malayi_prjna10729,WBGene00221113,,
brugia_malayi_prjna10729,WBGene00221117,WBGene00000171,aqp-3
brugia_malayi_prjna10729,WBGene00221119,,
brugia_malayi_prjna10729,WBGene00221120,WBGene00008910,F17C8.3
brugia_malayi_prjna10729,WBGene00221121,,
brugia_malayi_prjna10729,WBGene00221122,,
brugia_malayi_prjna10729,WBGene00221125,,
brugia_malayi_prjna10729,WBGene00221134,,
brugia_malayi_prjna10729,WBGene00221135,WBGene00016966,aipr-1
brugia_malayi_prjna10729,WBGene00221137,,
brugia_malayi_prjna10729,WBGene00221138,WBGene00012144,T28H10.3
brugia_malayi_prjna10729,WBGene00221140,WBGene00007924,rsu-1
brugia_malayi_prjna10729,WBGene00221144,WBGene00017919,F29B9.1
brugia_malayi_prjna10729,WBGene00221146,WBGene00014181,ZK1010.8
brugia_malayi_prjna10729,WBGene00221153,,
brugia_malayi_prjna10729,WBGene00221154,,
brugia_malayi_prjna10729,WBGene00221162,,
brugia_malayi_prjna10729,WBGene00221169,WBGene00015176,vps-51
brugia_malayi_prjna10729,WBGene00221170,,
brugia_malayi_prjna10729,WBGene00221199,,
brugia_malayi_prjna10729,WBGene00221200,,
brugia_malayi_prjna10729,WBGene00221205,WBGene00004798,sip-1
brugia_malayi_prjna10729,WBGene00221211,,
brugia_malayi_prjna10729,WBGene00221212,WBGene00021070,cpr-8
brugia_malayi_prjna10729,WBGene00221212,WBGene00013072,Y51A2D.1
brugia_malayi_prjna10729,WBGene00221212,WBGene00013764,Y113G7B.15
brugia_malayi_prjna10729,WBGene00221212,WBGene00013076,Y51A2D.8
brugia_malayi_prjna10729,WBGene00221212,WBGene00009347,F32H5.1
brugia_malayi_prjna10729,WBGene00221212,WBGene00012747,Y40H7A.10
brugia_malayi_prjna10729,WBGene00221212,WBGene00008231,tag-329
brugia_malayi_prjna10729,WBGene00221217,WBGene00020462,ari-2
brugia_malayi_prjna10729,WBGene00221226,,
brugia_malayi_prjna10729,WBGene00221231,,
brugia_malayi_prjna10729,WBGene00221236,WBGene00009284,F31C3.2
brugia_malayi_prjna10729,WBGene00221239,,
brugia_malayi_prjna10729,WBGene00221241,WBGene00000148,aph-2
brugia_malayi_prjna10729,WBGene00221242,,
brugia_malayi_prjna10729,WBGene00221255,,
brugia_malayi_prjna10729,WBGene00221258,,
brugia_malayi_prjna10729,WBGene00221266,,
brugia_malayi_prjna10729,WBGene00221267,WBGene00017002,D1007.4
brugia_malayi_prjna10729,WBGene00221268,,
brugia_malayi_prjna10729,WBGene00221269,,
brugia_malayi_prjna10729,WBGene00221272,,
brugia_malayi_prjna10729,WBGene00221274,,
brugia_malayi_prjna10729,WBGene00221276,,
brugia_malayi_prjna10729,WBGene00221277,,
brugia_malayi_prjna10729,WBGene00221278,,
brugia_malayi_prjna10729,WBGene00221282,,
brugia_malayi_prjna10729,WBGene00221284,WBGene00018765,mpc-2
brugia_malayi_prjna10729,WBGene00221285,,
brugia_malayi_prjna10729,WBGene00221286,,
brugia_malayi_prjna10729,WBGene00221287,,
brugia_malayi_prjna10729,WBGene00221288,,
brugia_malayi_prjna10729,WBGene00221290,,
brugia_malayi_prjna10729,WBGene00221291,,
brugia_malayi_prjna10729,WBGene00221293,,
brugia_malayi_prjna10729,WBGene00221295,,
brugia_malayi_prjna10729,WBGene00221296,,
brugia_malayi_prjna10729,WBGene00221297,,
brugia_malayi_prjna10729,WBGene00221303,,
brugia_malayi_prjna10729,WBGene00221304,,
brugia_malayi_prjna10729,WBGene00221305,,
brugia_malayi_prjna10729,WBGene00221306,,
brugia_malayi_prjna10729,WBGene00221307,,
brugia_malayi_prjna10729,WBGene00221310,,
brugia_malayi_prjna10729,WBGene00221311,,
brugia_malayi_prjna10729,WBGene00221312,,
brugia_malayi_prjna10729,WBGene00221317,,
brugia_malayi_prjna10729,WBGene00221319,,
brugia_malayi_prjna10729,WBGene00221322,,
brugia_malayi_prjna10729,WBGene00221323,,
brugia_malayi_prjna10729,WBGene00221324,,
brugia_malayi_prjna10729,WBGene00221325,,
brugia_malayi_prjna10729,WBGene00221328,,
brugia_malayi_prjna10729,WBGene00221329,,
brugia_malayi_prjna10729,WBGene00221332,,
brugia_malayi_prjna10729,WBGene00221333,,
brugia_malayi_prjna10729,WBGene00221334,,
brugia_malayi_prjna10729,WBGene00221335,WBGene00003731,nhx-3
brugia_malayi_prjna10729,WBGene00221336,,
brugia_malayi_prjna10729,WBGene00221337,,
brugia_malayi_prjna10729,WBGene00221338,WBGene00018880,acc-3
brugia_malayi_prjna10729,WBGene00221339,,
brugia_malayi_prjna10729,WBGene00221342,,
brugia_malayi_prjna10729,WBGene00221344,,
brugia_malayi_prjna10729,WBGene00221347,,
brugia_malayi_prjna10729,WBGene00221348,,
brugia_malayi_prjna10729,WBGene00221349,,
brugia_malayi_prjna10729,WBGene00221350,,
brugia_malayi_prjna10729,WBGene00221353,,
brugia_malayi_prjna10729,WBGene00221354,WBGene00006670,twk-16
brugia_malayi_prjna10729,WBGene00221355,,
brugia_malayi_prjna10729,WBGene00221358,,
brugia_malayi_prjna10729,WBGene00221359,,
brugia_malayi_prjna10729,WBGene00221360,,
brugia_malayi_prjna10729,WBGene00221361,,
brugia_malayi_prjna10729,WBGene00221362,,
brugia_malayi_prjna10729,WBGene00221363,,
brugia_malayi_prjna10729,WBGene00221366,,
brugia_malayi_prjna10729,WBGene00221367,,
brugia_malayi_prjna10729,WBGene00221368,,
brugia_malayi_prjna10729,WBGene00221370,,
brugia_malayi_prjna10729,WBGene00221371,WBGene00001090,drh-1
brugia_malayi_prjna10729,WBGene00221373,,
brugia_malayi_prjna10729,WBGene00221374,WBGene00020321,T07F12.1
brugia_malayi_prjna10729,WBGene00221375,WBGene00007746,C26D10.6
brugia_malayi_prjna10729,WBGene00221376,,
brugia_malayi_prjna10729,WBGene00221378,,
brugia_malayi_prjna10729,WBGene00221381,WBGene00008320,slc-25A29
brugia_malayi_prjna10729,WBGene00221383,,
brugia_malayi_prjna10729,WBGene00221385,WBGene00010996,R03G8.1
brugia_malayi_prjna10729,WBGene00221385,WBGene00010998,R03G8.3
brugia_malayi_prjna10729,WBGene00221385,WBGene00013539,Y73F8A.35
brugia_malayi_prjna10729,WBGene00221386,,
brugia_malayi_prjna10729,WBGene00221388,,
brugia_malayi_prjna10729,WBGene00221389,,
brugia_malayi_prjna10729,WBGene00221391,,
brugia_malayi_prjna10729,WBGene00221395,,
brugia_malayi_prjna10729,WBGene00221399,,
brugia_malayi_prjna10729,WBGene00221400,,
brugia_malayi_prjna10729,WBGene00221404,,
brugia_malayi_prjna10729,WBGene00221406,,
brugia_malayi_prjna10729,WBGene00221407,,
brugia_malayi_prjna10729,WBGene00221408,,
brugia_malayi_prjna10729,WBGene00221409,,
brugia_malayi_prjna10729,WBGene00221410,,
brugia_malayi_prjna10729,WBGene00221411,,
brugia_malayi_prjna10729,WBGene00221412,,
brugia_malayi_prjna10729,WBGene00221414,,
brugia_malayi_prjna10729,WBGene00221415,,
brugia_malayi_prjna10729,WBGene00221416,,
brugia_malayi_prjna10729,WBGene00221421,,
brugia_malayi_prjna10729,WBGene00221424,,
brugia_malayi_prjna10729,WBGene00221425,,
brugia_malayi_prjna10729,WBGene00221426,WBGene00006757,unc-18
brugia_malayi_prjna10729,WBGene00221427,,
brugia_malayi_prjna10729,WBGene00221429,,
brugia_malayi_prjna10729,WBGene00221430,,
brugia_malayi_prjna10729,WBGene00221431,,
brugia_malayi_prjna10729,WBGene00221433,,
brugia_malayi_prjna10729,WBGene00221435,,
brugia_malayi_prjna10729,WBGene00221437,,
brugia_malayi_prjna10729,WBGene00221438,WBGene00000928,dao-2
brugia_malayi_prjna10729,WBGene00221439,,
brugia_malayi_prjna10729,WBGene00221441,,
brugia_malayi_prjna10729,WBGene00221442,,
brugia_malayi_prjna10729,WBGene00221443,,
brugia_malayi_prjna10729,WBGene00221445,,
brugia_malayi_prjna10729,WBGene00221446,,
brugia_malayi_prjna10729,WBGene00221448,,
brugia_malayi_prjna10729,WBGene00221451,,
brugia_malayi_prjna10729,WBGene00221453,,
brugia_malayi_prjna10729,WBGene00221454,,
brugia_malayi_prjna10729,WBGene00221455,,
brugia_malayi_prjna10729,WBGene00221457,,
brugia_malayi_prjna10729,WBGene00221460,,
brugia_malayi_prjna10729,WBGene00221462,,
brugia_malayi_prjna10729,WBGene00221463,,
brugia_malayi_prjna10729,WBGene00221464,,
brugia_malayi_prjna10729,WBGene00221465,WBGene00009470,F36D3.4
brugia_malayi_prjna10729,WBGene00221465,WBGene00009031,F21H7.5
brugia_malayi_prjna10729,WBGene00221466,,
brugia_malayi_prjna10729,WBGene00221468,,
brugia_malayi_prjna10729,WBGene00221469,,
brugia_malayi_prjna10729,WBGene00221470,,
brugia_malayi_prjna10729,WBGene00221475,,
brugia_malayi_prjna10729,WBGene00221476,,
brugia_malayi_prjna10729,WBGene00221480,,
brugia_malayi_prjna10729,WBGene00221483,,
